objectid,country,name,company,group_comp,subgroup,groupid,area_ha
7993,IDN,PT. EGASUTI NASAKTI 1,PT. EGASUTI NASAKTI,No group,,99,2107
7994,IDN,PT. KEBUN PANTAI RAJA 1,PT. KEBUN PANTAI RAJA,Uniseraya Group,,75,3135
7995,IDN,PT. PADASA ENAM UTAMA 2,PT. PADASA ENAM UTAMA,No group,,99,11252
7996,IDN,PT. EKADURA INDONESIA 1,PT. EKADURA INDONESIA,Astra International,Astra Agro Lestari,5,10740
7997,IDN,PT. PERKEBUNAN IV TANJUNG MEDANG,PT. PERKEBUNAN IV TANJUNG MEDANG,No group,,99,4961
7998,IDN,PT. IVO MAS TUNGGAL 4,PT. IVO MAS TUNGGAL,Sinar Mas,,68,12723
7999,IDN,PT. IVO MAS TUNGGAL 5,PT. IVO MAS TUNGGAL,Sinar Mas,,68,2372
8000,IDN,PT. TOBA INDAH 1,PT. TOBA INDAH,No group,,99,2356
8001,IDN,PT. TOBA INDAH 2,PT. TOBA INDAH,No group,,99,2394
8002,IDN,PT. UNI SERAYA,PT. UNI SERAYA,No group,,99,11346
8003,IDN,PT. MUSIM MAS,PT. MUSIM MAS,Musim Mas,,48,30638
8004,IDN,PT. GANDAERAH HENDANA 1,PT. GANDAERAH HENDANA,Barito Pacific,,7,12865
8005,IDN,PT. GUNTUNG HASRAT M 1,PT. GUNTUNG HASRAT M,Sambu Group,,61,24252
8006,IDN,PT. GUNTUNG HASRAT M 2,PT. GUNTUNG HASRAT M,Sambu Group,,61,34623
8007,IDN,PT. BUMI REKSA NUSASEJATI 1,PT. BUMI REKSA NUSASEJATI,No group,,99,95533
8008,IDN,PT. BUMI REKSA NUSASEJATI 2,PT. BUMI REKSA NUSASEJATI,No group,,99,85076
8009,IDN,PT. BUMI PLASMA LESTARI,PT. BUMI PLASMA LESTARI,Sinar Mas,,68,10550
8010,IDN,PT. PERKEBUNAN V (NES / PIR AIR MOLEK),PT. PERKEBUNAN V (NES / PIR AIR MOLEK),No group,,99,8945
8011,IDN,PT. SUMATERA MAKMUR 1,PT. SUMATERA MAKMUR,Incasi Raya,,26,5373
8012,IDN,PT. SUMATERA MAKMUR 2,PT. SUMATERA MAKMUR,Incasi Raya,,26,869
8013,IDN,PT. WARNASARI NUSANTARA,PT. WARNASARI NUSANTARA,RGE Group,Asian Agri,102,25086
8014,IDN,PT. UDAYA LOHJINAWI 1,PT. UDAYA LOHJINAWI,RP KELAPA SAWIT Sdn Bhd,,92,8015
